month,revenue,orders,prev_month_revenue,mom_growth_pct
2016-10,46566.71,265,,
2016-12,19.62,1,46566.71,-99.96
2017-01,127545.67,750,19.62,649979.87
2017-02,271298.65,1653,127545.67,112.71
2017-03,414369.39,2546,271298.65,52.74
2017-04,390952.18,2303,414369.39,-5.65
2017-05,567066.73,3546,390952.18,45.05
2017-06,490225.60,3135,567066.73,-13.55
2017-07,566403.93,3872,490225.60,15.54
2017-08,646000.61,4193,566403.93,14.05
2017-09,701169.99,4150,646000.61,8.54
2017-10,751140.27,4478,701169.99,7.13
2017-11,1153528.05,7289,751140.27,53.57
2017-12,843199.17,5513,1153528.05,-26.90
2018-01,1078606.86,7069,843199.17,27.92
2018-02,966510.88,6555,1078606.86,-10.39
2018-03,1120678.00,7003,966510.88,15.95
2018-04,1132933.95,6798,1120678.00,1.09
2018-05,1128836.69,6749,1132933.95,-0.36
2018-06,1012090.68,6099,1128836.69,-10.34
2018-07,1027903.86,6159,1012090.68,1.56
2018-08,985414.28,6351,1027903.86,-4.13
