revenue_rank,category,revenue,cumulative_pct,pareto_segment
1,health_beauty,1258681.34,9.26,TOP 80%
2,watches_gifts,1205005.68,18.13,TOP 80%
3,bed_bath_table,1036988.68,25.76,TOP 80%
4,sports_leisure,988048.97,33.03,TOP 80%
5,computers_accessories,911954.32,39.74,TOP 80%
6,furniture_decor,729762.49,45.10,TOP 80%
7,cool_stuff,635290.85,49.78,TOP 80%
8,housewares,632248.66,54.43,TOP 80%
9,auto,592720.11,58.79,TOP 80%
10,garden_tools,485256.46,62.36,TOP 80%
11,toys,483946.60,65.92,TOP 80%
12,baby,411764.89,68.95,TOP 80%
13,perfumery,399124.87,71.89,TOP 80%
14,telephony,323667.53,74.27,TOP 80%
15,office_furniture,273960.70,76.29,TOP 80%
16,stationery,230943.23,77.98,TOP 80%
17,computers,222963.13,79.62,TOP 80%
18,pet_shop,214315.41,81.20,TAIL 20%
19,musical_instruments,191498.88,82.61,TAIL 20%
20,small_appliances,190648.58,84.01,TAIL 20%
21,Unknown,179535.28,85.33,TAIL 20%
22,electronics,160246.74,86.51,TAIL 20%
23,consoles_games,157465.22,87.67,TAIL 20%
24,fashion_bags_accessories,152823.54,88.80,TAIL 20%
25,construction_tools_construction,144677.59,89.86,TAIL 20%
26,luggage_accessories,140429.98,90.89,TAIL 20%
27,home_appliances_2,113317.74,91.73,TAIL 20%
28,home_construction,83088.12,92.34,TAIL 20%
29,home_appliances,80171.53,92.93,TAIL 20%
30,agro_industry_and_commerce,72530.47,93.46,TAIL 20%
