customer_id,recency_days,frequency,monetary,rfm_score,value_rank
c8460e4251689ba205045f3ea17884a1,70,4,4655.91,555,1
eae0a83d752b1dd32697e0e7b4221656,176,2,2783.01,455,2
7b0eaf68a16e4808e5388c67345033c9,151,2,2340.08,455,3
6ddbc64bd04d40f7768ff088d94cbeb8,191,2,2299.66,455,4
906a8a4ec9f3d4c3e64fa6d1c4fe6009,89,2,2020.86,555,5
0341bbd5c969923a0f801b9e2d10a7b8,140,2,1999.68,555,6
c40698869e63dc7c57f3f66e767e7287,220,1,1814.29,445,7
77c404a3e8a4ee3808befcc4663ac123,220,1,1804.05,445,8
525cda9909aa001ebed396f6e55eae01,71,2,1782.90,555,9
4facc2e6fbc2bffab2fea92d2b4aa7e4,65,4,1760.75,555,10
397b44d5bb99eabf54ea9c2b41ebb905,122,4,1756.53,555,11
10811ce4adce690edaf95b2e8eb3845a,225,1,1736.30,445,12
5a494c648fde2d1ec4eb614274ea7159,223,2,1703.38,455,13
e0c3bef7c7e5679c7776c40abec7fe2b,222,1,1662.02,445,14
87c9e7ba960e4c2e6bd786b162adc639,157,2,1653.98,455,15
fe81bb32c243a86b2f86fbf053fe6140,118,5,1590.76,555,16
fc24db02becd484accefaa5af59c18b1,114,2,1588.95,555,17
231d36f5c4b238c26f449ffd98c79180,162,2,1529.26,455,18
f78a6b62ac5dc9638a4fa0fd5d7b94e1,218,1,1522.99,445,19
5b7b7009010e8dbf35aa64441cd01b25,220,1,1511.86,445,20
