seller_id,seller_state,total_orders,total_revenue,avg_order_value,avg_rating,cancellation_rate,late_deliveries,revenue_rank,rating_rank,reliability_rank,performance_tier
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1132,229472.63,198.51,4.12,0.09,133,1,83,4,Top Performer
53243585a1d6dc2643021fd1853d8905,BA,358,222776.05,543.36,4.08,0.00,16,2,87,1,Top Performer
4a3ca9315b744ce9f8e9374361493884,SP,1806,202999.12,101.04,3.80,0.11,216,3,115,5,Good Performer
fa1c13f2614d7b5c4749cbc52fecda94,SP,585,194042.03,331.13,4.34,0.17,59,4,61,8,Top Performer
7c67e1448b00f6e969d365cea6b010ab,SP,982,189417.67,137.76,3.35,0.00,131,5,158,1,Average
7e93a43ef30c4f03f38b393420bc753a,SP,336,176431.87,518.92,4.21,1.19,18,6,74,57,Top Performer
da8622b14eb17ae2831f4ac5b9dab84a,SP,1314,162723.37,103.38,4.07,0.00,114,7,88,1,Top Performer
7a67c85e85bb2ce8582c35f2203ad736,SP,1160,142325.49,121.13,4.23,0.09,68,8,72,4,Top Performer
1025f0e2d44d7041d6cf58b6550e0bfa,SP,915,140513.14,97.38,3.85,0.00,131,9,110,1,Good Performer
955fee9216a65b617aa5c0531780ce60,SP,1287,135241.70,90.10,4.05,0.08,119,10,90,3,Top Performer
46dc3b2cc0980fb8ec44634e21d2718e,RJ,521,128111.19,236.37,4.18,0.58,33,11,77,28,Top Performer
6560211a19b47992c3666cc44a7e94c0,SP,1854,123585.82,60.61,3.91,0.43,125,12,104,19,Good Performer
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,740,115283.90,143.39,4.22,0.95,75,13,73,45,Top Performer
7d13fca15225358621be4086e1eb0964,SP,565,113628.97,196.59,4.00,0.00,68,14,95,1,Top Performer
5dceca129747e92ff8ef7a997dc4f8ca,SP,325,112155.53,324.15,3.99,0.31,20,15,96,13,Good Performer
1f50f920176fa81dab994f9023523100,SP,1404,107431.41,55.38,3.98,0.07,184,16,97,2,Good Performer
cc419e0650a3c5ba77189a1882b7556a,SP,1706,106555.98,58.58,4.07,0.53,106,17,88,26,Top Performer
a1043bafd471dff536d0c462352beb48,MG,718,101901.16,132.34,4.19,0.42,42,18,76,18,Top Performer
3d871de0142ce09b7081e2b9d1733cb1,SP,1080,94963.20,82.72,4.11,0.37,67,19,84,15,Top Performer
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,166,79284.55,453.05,4.43,0.00,13,20,52,1,Top Performer
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,187,74004.62,385.44,4.28,0.00,14,21,67,1,Top Performer
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,219,68780.00,296.47,4.21,0.00,38,22,74,1,Top Performer
8581055ce74af1daba164fdbd55a40de,SP,387,66120.05,149.26,4.23,1.29,43,23,72,60,Top Performer
fe2032dab1a61af8794248c8196565c9,SP,294,65959.61,215.55,4.38,0.00,26,24,57,1,Top Performer
cca3071e3e9bb7d12640c9fbe2301306,SP,712,65629.96,77.30,3.85,0.14,44,25,110,6,Good Performer
04308b1ee57b6625f47df1d56f00eedf,SC,94,60130.60,639.69,3.88,0.00,11,26,107,1,Good Performer
