seller_group,seller_id,revenue,orders,avg_rating,cancellation_rate
Bottom 10,2f4b0d3b9634b647d4edee577d7ebb7e,337.90,10,4.91,0.00
Bottom 10,7c4618c82226628831613e95e9c22f44,333.93,13,4.08,0.00
Bottom 10,b127efdabeffb5d559349c7b172eb75d,308.50,10,4.80,0.00
Bottom 10,a8739afb32aaa45e01815ca76f76f54b,298.83,13,3.47,0.00
Bottom 10,508808d438fe2ff972ed13bb8f4a82e2,294.83,10,4.27,10.00
Bottom 10,9d39404483343dd55c7ae254494d8388,293.20,10,3.50,0.00
Bottom 10,615005a3ef192c00c6f0e977cee3d2bc,286.50,10,3.91,0.00
Bottom 10,5c853bb56f70f4d14218944bae111d7a,263.13,23,4.04,0.00
Bottom 10,c990d6cf976a5718aaedc539f383ab88,200.90,10,3.18,0.00
Bottom 10,1e483cc5c76fef08d3ca05f9a8af7d01,171.99,10,4.09,0.00
Top 10,4869f7a5dfa277a7dca6462dcf3b52b2,229472.63,1132,4.12,0.09
Top 10,53243585a1d6dc2643021fd1853d8905,222776.05,358,4.08,0.00
Top 10,4a3ca9315b744ce9f8e9374361493884,202999.12,1806,3.80,0.11
Top 10,fa1c13f2614d7b5c4749cbc52fecda94,194042.03,585,4.34,0.17
Top 10,7c67e1448b00f6e969d365cea6b010ab,189417.67,982,3.35,0.00
Top 10,7e93a43ef30c4f03f38b393420bc753a,176431.87,336,4.21,1.19
Top 10,da8622b14eb17ae2831f4ac5b9dab84a,162723.37,1314,4.07,0.00
Top 10,7a67c85e85bb2ce8582c35f2203ad736,142325.49,1160,4.24,0.09
Top 10,1025f0e2d44d7041d6cf58b6550e0bfa,140513.14,915,3.85,0.00
Top 10,955fee9216a65b617aa5c0531780ce60,135241.70,1287,4.05,0.08
