cohort_month,cohort_customers,month_index,active_customers,retention_rate_pct
2016-09,1,0,1,100.00
2016-10,262,0,262,100.00
2016-10,262,6,1,0.38
2016-12,1,0,1,100.00
2016-12,1,1,1,100.00
2017-01,717,0,717,100.00
2017-01,717,1,2,0.28
2017-01,717,2,2,0.28
2017-01,717,3,1,0.14
2017-01,717,4,3,0.42
2017-01,717,5,1,0.14
2017-01,717,6,3,0.42
2017-02,1628,0,1628,100.00
2017-02,1628,1,3,0.18
2017-02,1628,2,5,0.31
2017-02,1628,3,2,0.12
2017-02,1628,4,7,0.43
2017-02,1628,5,2,0.12
2017-02,1628,6,4,0.25
2017-03,2503,0,2503,100.00
2017-03,2503,1,11,0.44
2017-03,2503,2,9,0.36
2017-03,2503,3,10,0.40
2017-03,2503,4,9,0.36
2017-03,2503,5,4,0.16
2017-03,2503,6,4,0.16
2017-04,2256,0,2256,100.00
2017-04,2256,1,14,0.62
2017-04,2256,2,5,0.22
2017-04,2256,3,4,0.18
2017-04,2256,4,6,0.27
2017-04,2256,5,6,0.27
2017-04,2256,6,8,0.35
2017-05,3451,0,3451,100.00
2017-05,3451,1,16,0.46
2017-05,3451,2,16,0.46
2017-05,3451,3,10,0.29
2017-05,3451,4,10,0.29
2017-05,3451,5,11,0.32
2017-05,3451,6,14,0.41
2017-06,3037,0,3037,100.00
2017-06,3037,1,15,0.49
2017-06,3037,2,12,0.40
2017-06,3037,3,13,0.43
2017-06,3037,4,9,0.30
2017-06,3037,5,12,0.40
2017-06,3037,6,11,0.36
2017-07,3752,0,3752,100.00
2017-07,3752,1,20,0.53
2017-07,3752,2,13,0.35
2017-07,3752,3,9,0.24
2017-07,3752,4,11,0.29
2017-07,3752,5,8,0.21
2017-07,3752,6,12,0.32
2017-08,4057,0,4057,100.00
2017-08,4057,1,28,0.69
2017-08,4057,2,14,0.35
2017-08,4057,3,11,0.27
2017-08,4057,4,14,0.35
2017-08,4057,5,21,0.52
2017-08,4057,6,12,0.30
2017-09,4004,0,4004,100.00
2017-09,4004,1,28,0.70
2017-09,4004,2,22,0.55
2017-09,4004,3,11,0.27
2017-09,4004,4,18,0.45
2017-09,4004,5,9,0.22
2017-09,4004,6,9,0.22
2017-10,4328,0,4328,100.00
2017-10,4328,1,31,0.72
2017-10,4328,2,11,0.25
2017-10,4328,3,4,0.09
2017-10,4328,4,10,0.23
2017-10,4328,5,9,0.21
2017-10,4328,6,9,0.21
2017-11,7060,0,7060,100.00
2017-11,7060,1,40,0.57
2017-11,7060,2,26,0.37
2017-11,7060,3,12,0.17
2017-11,7060,4,12,0.17
2017-11,7060,5,13,0.18
2017-11,7060,6,8,0.11
2017-12,5338,0,5338,100.00
2017-12,5338,1,11,0.21
2017-12,5338,2,15,0.28
2017-12,5338,3,18,0.34
2017-12,5338,4,14,0.26
2017-12,5338,5,11,0.21
2017-12,5338,6,9,0.17
2018-01,6842,0,6842,100.00
2018-01,6842,1,23,0.34
2018-01,6842,2,25,0.37
2018-01,6842,3,20,0.29
2018-01,6842,4,20,0.29
2018-01,6842,5,11,0.16
2018-01,6842,6,12,0.18
2018-02,6288,0,6288,100.00
2018-02,6288,1,22,0.35
2018-02,6288,2,25,0.40
2018-02,6288,3,19,0.30
2018-02,6288,4,16,0.25
2018-02,6288,5,14,0.22
2018-02,6288,6,13,0.21
2018-03,6774,0,6774,100.00
2018-03,6774,1,27,0.40
2018-03,6774,2,20,0.30
2018-03,6774,3,20,0.30
2018-03,6774,4,8,0.12
2018-03,6774,5,8,0.12
2018-04,6582,0,6582,100.00
2018-04,6582,1,39,0.59
2018-04,6582,2,20,0.30
2018-04,6582,3,16,0.24
2018-04,6582,4,9,0.14
2018-05,6506,0,6506,100.00
2018-05,6506,1,34,0.52
2018-05,6506,2,17,0.26
2018-05,6506,3,12,0.18
2018-06,5878,0,5878,100.00
2018-06,5878,1,25,0.43
2018-06,5878,2,16,0.27
2018-07,5949,0,5949,100.00
2018-07,5949,1,31,0.52
2018-08,6144,0,6144,100.00
